#;Código DIVIPOLA;DEPARTMENT;Municipality;TOTAL;Urban Area ;Rural Area
1069;85325;Casanare;San Luis de Palenque;8466;3058;5408
1070;85400;Casanare;Támara;6873;1634;5239
1071;85410;Casanare;Tauramena;23527;14549;8978
1072;85430;Casanare;Trinidad;13233;6891;6342
1073;85440;Casanare;Villanueva;35305;26322;8983
1074;86001;Putumayo;Mocoa;56398;38457;17941
1075;86219;Putumayo;Colón;5407;3419;1988
1076;86320;Putumayo;Orito;37745;19833;17912
1077;86568;Putumayo;Puerto Asís;64867;38901;25966
1078;86569;Putumayo;Puerto Caicedo;16095;6089;10006
1079;86571;Putumayo;Puerto Guzmán;35390;4629;30761
1080;86573;Putumayo;Leguízamo;28468;12755;15713
1081;86749;Putumayo;Sibundoy;14940;10059;4881
1082;86755;Putumayo;San Francisco;5645;3385;2260
1083;86757;Putumayo;San Miguel;18780;4912;13868
1084;86760;Putumayo;Santiago;7290;3476;3814
1085;86865;Putumayo;Valle del Guamuez;33457;14882;18575
1086;86885;Putumayo;Villagarzón;23700;13742;9958
1087;88001;Archipiélago de San Andrés;San Andrés;55291;41400;13891
1088;88564;Archipiélago de San Andrés;Providencia;5989;3493;2496
1089;91001;Amazonas;Leticia;48144;33503;14641
1090;91263;Amazonas;El Encanto (ANM);2100;0;2100
1091;91405;Amazonas;La Chorrera (ANM);2967;0;2967
1092;91407;Amazonas;La Pedrera (ANM);3820;0;3820
1093;91430;Amazonas;La Victoria (ANM);644;0;644
1094;91460;Amazonas;Miriti - Paraná (ANM);1850;0;1850
1095;91530;Amazonas;Puerto Alegría (ANM);748;0;748
1096;91536;Amazonas;Puerto Arica (ANM);1013;0;1013
1097;91540;Amazonas;Puerto Nariño;9744;3544;6200
1098;91669;Amazonas;Puerto Santander (ANM);1758;0;1758
1099;91798;Amazonas;Tarapacá (ANM);3801;0;3801
1100;94001;Guainía;Inírida;31514;20279;11235
1101;94343;Guainía;Barranco Minas (ANM);8088;0;8088
1102;94663;Guainía;Mapiripana (ANM);1022;0;1022
1103;94883;Guainía;San Felipe (ANM);1667;0;1667
1104;94884;Guainía;Puerto Colombia (ANM);1874;0;1874
1105;94885;Guainía;La Guadalupe (ANM);279;0;279
1106;94886;Guainía;Cacahual (ANM);863;0;863
1107;94887;Guainía;Pana Pana (ANM);1899;0;1899
1108;94888;Guainía;Morichal (ANM);908;0;908
1109;95001;Guaviare;San José del Guaviare;52815;36354;16461
1110;95015;Guaviare;Calamar;9528;4339;5189
1111;95025;Guaviare;El Retorno;13653;3355;10298
1112;95200;Guaviare;Miraflores;6771;1943;4828
1113;97001;Vaupés;Mitú;29850;9746;20104
1114;97161;Vaupés;Caruru;2915;1387;1528
1115;97511;Vaupés;Pacoa (ANM);4042;0;4042
1116;97666;Vaupés;Taraira;2215;957;1258
1117;97777;Vaupés;Papunaua (ANM);727;0;727
1118;97889;Vaupés;Yavaraté (ANM);1048;0;1048
1119;99001;Vichada;Puerto Carreño;20936;14974;5962
1120;99524;Vichada;La Primavera;10122;5586;4536
1121;99624;Vichada;Santa Rosalía;4059;2383;1676
1122;99773;Vichada;Cumaribo;72691;2890;69801
;;;;;;
;;;;;;
