#;Código DIVIPOLA;DEPARTMENT;Municipality;TOTAL;Urban Area ;Rural Area
210;15162;Boyacá;Cerinza;3713;1653;2060
211;15172;Boyacá;Chinavita;3209;1231;1978
212;15176;Boyacá;Chiquinquirá;56054;49016;7038
213;15180;Boyacá;Chiscas;3994;879;3115
214;15183;Boyacá;Chita;8045;1976;6069
215;15185;Boyacá;Chitaraque;5830;1158;4672
216;15187;Boyacá;Chivatá;2788;470;2318
217;15189;Boyacá;Ciénega;4635;1207;3428
218;15204;Boyacá;Cómbita;12970;1286;11684
219;15212;Boyacá;Coper;3619;862;2757
220;15215;Boyacá;Corrales;2498;1561;937
221;15218;Boyacá;Covarachía;2806;492;2314
222;15223;Boyacá;Cubará;10319;2182;8137
223;15224;Boyacá;Cucaita;3725;1457;2268
224;15226;Boyacá;Cuítiva;1798;251;1547
225;15232;Boyacá;Chíquiza;4684;332;4352
226;15236;Boyacá;Chivor;2479;681;1798
227;15238;Boyacá;Duitama;122436;107520;14916
228;15244;Boyacá;El Cocuy;4215;2206;2009
229;15248;Boyacá;El Espino;3061;1358;1703
230;15272;Boyacá;Firavitoba;6662;2497;4165
231;15276;Boyacá;Floresta;3266;1152;2114
232;15293;Boyacá;Gachantivá;2789;557;2232
233;15296;Boyacá;Gameza;4850;1327;3523
234;15299;Boyacá;Garagoa;17932;12358;5574
235;15317;Boyacá;Guacamayas;1865;624;1241
236;15322;Boyacá;Guateque;10699;7631;3068
237;15325;Boyacá;Guayatá;3400;1117;2283
238;15332;Boyacá;Güicán;4279;1353;2926
239;15362;Boyacá;Iza;1947;1160;787
240;15367;Boyacá;Jenesano;7200;1696;5504
241;15368;Boyacá;Jericó;3929;1201;2728
242;15377;Boyacá;Labranzagrande;3526;1128;2398
243;15380;Boyacá;La Capilla;2689;1012;1677
244;15401;Boyacá;La Victoria;1118;400;718
245;15403;Boyacá;La Uvita;2999;1277;1722
246;15407;Boyacá;Villa de Leyva;16139;7897;8242
247;15425;Boyacá;Macanal;4976;1134;3842
248;15442;Boyacá;Maripí;5741;762;4979
249;15455;Boyacá;Miraflores;8847;5270;3577
250;15464;Boyacá;Mongua;4636;1992;2644
251;15466;Boyacá;Monguí;4234;2327;1907
252;15469;Boyacá;Moniquirá;22572;11539;11033
253;15476;Boyacá;Motavita;5569;742;4827
254;15480;Boyacá;Muzo;8597;5392;3205
255;15491;Boyacá;Nobsa;15976;5026;10950
256;15494;Boyacá;Nuevo Colón;5121;993;4128
257;15500;Boyacá;Oicatá;2821;400;2421
258;15507;Boyacá;Otanche;8018;3449;4569
259;15511;Boyacá;Pachavita;2467;520;1947
260;15514;Boyacá;Páez;3283;1353;1930
261;15516;Boyacá;Paipa;33535;20021;13514
262;15518;Boyacá;Pajarito;2390;960;1430
263;15522;Boyacá;Panqueba;1717;810;907
264;15531;Boyacá;Pauna;7185;2073;5112
265;15533;Boyacá;Paya;2593;481;2112
266;15537;Boyacá;Paz de Río;4285;2788;1497
267;15542;Boyacá;Pesca;6852;2245;4607
268;15550;Boyacá;Pisba;1763;527;1236
269;15572;Boyacá;Puerto Boyacá;46736;32979;13757
270;15580;Boyacá;Quípama;4889;1326;3563
271;15599;Boyacá;Ramiriquí;9887;4053;5834
272;15600;Boyacá;Ráquira;7877;2217;5660
273;15621;Boyacá;Rondón;2407;600;1807
274;15632;Boyacá;Saboyá;13588;978;12610
275;15638;Boyacá;Sáchica;5452;2567;2885
276;15646;Boyacá;Samacá;18298;7075;11223
277;15660;Boyacá;San Eduardo;1701;732;969
278;15664;Boyacá;San José de Pare;4988;978;4010
279;15667;Boyacá;San Luis de Gaceno;5499;2444;3055
280;15673;Boyacá;San Mateo;3332;1163;2169
281;15676;Boyacá;San Miguel de Sema;3009;412;2597
282;15681;Boyacá;San Pablo de Borbur;6608;745;5863
283;15686;Boyacá;Santana;7565;2525;5040
284;15690;Boyacá;Santa María;3559;2107;1452
285;15693;Boyacá;Santa Rosa de Viterbo;13066;7937;5129
286;15696;Boyacá;Santa Sofía;3179;1019;2160
287;15720;Boyacá;Sativanorte;2221;680;1541
288;15723;Boyacá;Sativasur;1097;302;795
289;15740;Boyacá;Siachoque;6729;1117;5612
290;15753;Boyacá;Soatá;9066;6407;2659
291;15755;Boyacá;Socotá;7298;1428;5870
292;15757;Boyacá;Socha;7938;4236;3702
293;15759;Boyacá;Sogamoso;127235;111815;15420
294;15761;Boyacá;Somondoco;2910;655;2255
295;15762;Boyacá;Sora;3019;486;2533
296;15763;Boyacá;Sotaquirá;8162;905;7257
297;15764;Boyacá;Soracá;5954;1461;4493
298;15774;Boyacá;Susacón;2717;604;2113
299;15776;Boyacá;Sutamarchán;6092;2103;3989
300;15778;Boyacá;Sutatenza;4233;732;3501
301;15790;Boyacá;Tasco;5882;1625;4257
302;15798;Boyacá;Tenza;3851;1127;2724
303;15804;Boyacá;Tibaná;9051;1729;7322
304;15806;Boyacá;Tibasosa;12940;4238;8702
305;15808;Boyacá;Tinjacá;3266;737;2529
306;15810;Boyacá;Tipacoque;3323;937;2386
307;15814;Boyacá;Toca;8767;4209;4558
308;15816;Boyacá;Togüí;4335;617;3718
309;15820;Boyacá;Tópaga;3617;1054;2563
310;15822;Boyacá;Tota;5179;854;4325
311;15832;Boyacá;Tununguá;1540;256;1284
312;15835;Boyacá;Turmequé;6118;2072;4046
313;15837;Boyacá;Tuta;8266;2320;5946
314;15839;Boyacá;Tutazá;2040;169;1871
315;15842;Boyacá;Umbita;7530;1019;6511
316;15861;Boyacá;Ventaquemada;15706;2345;13361
317;15879;Boyacá;Viracachá;2837;426;2411
318;15897;Boyacá;Zetaquira;4629;1163;3466
319;17001;Caldas;Manizales;434403;405234;29169
320;17013;Caldas;Aguadas;22823;11532;11291
321;17042;Caldas;Anserma;36149;20284;15865
322;17050;Caldas;Aranzazu;10557;6825;3732
323;17088;Caldas;Belalcázar;10660;4583;6077
324;17174;Caldas;Chinchiná;51271;44570;6701
325;17272;Caldas;Filadelfia;11451;3877;7574
326;17380;Caldas;La Dorada;71905;62536;9369
327;17388;Caldas;La Merced;6003;2151;3852
328;17433;Caldas;Manzanares;17928;10221;7707
329;17442;Caldas;Marmato;8888;964;7924
330;17444;Caldas;Marquetalia;13245;6348;6897
331;17446;Caldas;Marulanda;2607;823;1784
332;17486;Caldas;Neira;21024;11564;9460
333;17495;Caldas;Norcasia;6022;4007;2015
334;17513;Caldas;Pácora;15325;7430;7895
335;17524;Caldas;Palestina;15555;4963;10592
336;17541;Caldas;Pensilvania;19908;7706;12202
337;17614;Caldas;Riosucio;50775;18077;32698
338;17616;Caldas;Risaralda;10815;4217;6598
339;17653;Caldas;Salamina;19467;11359;8108
340;17662;Caldas;Samaná;20454;5924;14530
341;17665;Caldas;San José;4835;1282;3553
342;17777;Caldas;Supía;28642;13493;15149
343;17867;Caldas;Victoria;10157;4296;5861
344;17873;Caldas;Villamaría;64652;55894;8758
345;17877;Caldas;Viterbo;12734;10705;2029
346;18001;Caquetá;Florencia;168346;147939;20407
347;18029;Caquetá;Albania;4675;2060;2615
348;18094;Caquetá;Belén de Los Andaquies;11021;6753;4268
349;18150;Caquetá;Cartagena del Chairá;30399;15434;14965
350;18205;Caquetá;Curillo;7593;5261;2332
351;18247;Caquetá;El Doncello;19294;13522;5772
352;18256;Caquetá;El Paujil;18036;8858;9178
353;18410;Caquetá;La Montañita;14714;2467;12247
354;18460;Caquetá;Milán;9723;1001;8722
355;18479;Caquetá;Morelia;3698;2007;1691
356;18592;Caquetá;Puerto Rico;26517;14464;12053
357;18610;Caquetá;San José del Fragua;12797;6292;6505
358;18753;Caquetá;San Vicente del Caguán;50719;23432;27287
359;18756;Caquetá;Solano;11214;2782;8432
360;18785;Caquetá;Solita;6216;3672;2544
361;18860;Caquetá;Valparaíso;6887;2336;4551
362;19001;Cauca;Popayán;318059;266561;51498
363;19022;Cauca;Almaguer;18449;1346;17103
364;19050;Cauca;Argelia;26144;2700;23444
365;19075;Cauca;Balboa;21108;5393;15715
366;19100;Cauca;Bolívar;38048;5020;33028
