Code Department;Code Municipality;Department;Municipality;Longitude;Latitude;TOTAL;Urban Area;Rural Area;;
13;13268;Bolívar;El Peñón;-73.9494155;8.988219476;7651;2886;4765;;
13;13300;Bolívar;Hatillo de Loba;-74.07836471;8.955614891;12317;3166;9151;;
13;13430;Bolívar;Magangué;-74.77017457;9.268563794;133270;92316;40954;;
13;13433;Bolívar;Mahates;-75.19133659;10.23325452;27692;10402;17290;;
13;13440;Bolívar;Margarita;-74.28082176;9.155550472;10673;1860;8813;;
13;13442;Bolívar;María La Baja;-75.30075935;9.982645517;46112;20451;25661;;
13;13458;Bolívar;Montecristo;-74.47170385;8.297136275;16389;4076;12313;;
13;13468;Bolívar;Mompós;-74.42786642;9.243883757;44442;23090;21352;;
13;13473;Bolívar;Morales;-73.86814048;8.276306771;22259;7293;14966;;
13;13490;Bolívar;Norosí;-74.03805913;8.525980787;9212;2314;6898;;
13;13549;Bolívar;Pinillos;-74.46240354;8.915452234;24218;3718;20500;;
13;13580;Bolívar;Regidor;-73.82163802;8.666257728;6723;4223;2500;;
13;13600;Bolívar;Río Viejo ;-73.83994549;8.587627712;10598;5071;5527;;
13;13620;Bolívar;San Cristóbal;-75.06553417;10.39285577;8054;6221;1833;;
13;13647;Bolívar;San Estanislao;-75.15325792;10.3984757;18251;12528;5723;;
13;13650;Bolívar;San Fernando;-74.32386665;9.214179065;12536;2147;10389;;
13;13654;Bolívar;San Jacinto;-75.1210888;9.830219073;23913;20711;3202;;
13;13655;Bolívar;San Jacinto del Cauca;-74.72082643;8.251739321;9935;2566;7369;;
13;13657;Bolívar;San Juan Nepomuceno;-75.08135293;9.953454388;36874;27379;9495;;
13;13667;Bolívar;San Martín de Loba;-74.03901175;8.937090811;14774;7051;7723;;
13;13670;Bolívar;San Pablo;-73.92416855;7.476720672;27190;20829;6361;;
13;13673;Bolívar;Santa Catalina;-75.28776411;10.60505605;14563;5666;8897;;
13;13683;Bolívar;Santa Rosa;-75.36983166;10.44439608;20963;19356;1607;;
13;13688;Bolívar;Santa Rosa del Sur;-74.05284001;7.962854831;32646;19214;13432;;
13;13744;Bolívar;Simití;-73.94731196;7.954176376;18110;6063;12047;;
13;13760;Bolívar;Soplaviento;-75.13642551;10.38845743;10650;10455;195;;
13;13780;Bolívar;Talaigua Nuevo;-74.56762806;9.304889329;13108;6278;6830;;
13;13810;Bolívar;Tiquisio;-74.26354688;8.557741117;18035;6167;11868;;
13;13836;Bolívar;Turbaco;-75.42440917;10.33276916;105166;97294;7872;;
13;13838;Bolívar;Turbaná;-75.44250247;10.27440205;16403;12428;3975;;
13;13873;Bolívar;Villanueva;-75.27475439;10.44449833;23777;20769;3008;;
13;13894;Bolívar;Zambrano;-74.8138396;9.7469139;11880;10507;1373;;
15;15001;Boyacá;Tunja;-73.35548873;5.539953238;172548;163894;8654;;
15;15022;Boyacá;Almeida;-73.3789331;4.970856509;1910;321;1589;;
15;15047;Boyacá;Aquitania;-72.88398481;5.518603543;15377;5777;9600;;
15;15051;Boyacá;Arcabuco;-73.43818476;5.755184269;5831;2378;3453;;
15;15087;Boyacá;Belén;-72.91161957;5.989277861;7481;4495;2986;;
15;15090;Boyacá;Berbeo;-73.12703215;5.22728723;1596;406;1190;;
15;15092;Boyacá;Betéitiva;-72.8090312;5.909907818;1963;327;1636;;
15;15097;Boyacá;Boavita;-72.5849594;6.330652563;5059;2305;2754;;
15;15104;Boyacá;Boyacá;-73.36230272;5.454237164;5089;761;4328;;
15;15106;Boyacá;Briceño;-73.9232597;5.690878897;2198;487;1711;;
15;15109;Boyacá;Buenavista;-73.94230522;5.512431151;4409;757;3652;;
15;15114;Boyacá;Busbanzá;-72.88416175;5.831389532;1118;432;686;;
15;15131;Boyacá;Caldas;-73.865541;5.554575079;3143;245;2898;;
15;15135;Boyacá;Campohermoso;-73.10416792;5.031660681;3121;767;2354;;
15;15162;Boyacá;Cerinza;-72.94827585;5.956028189;3713;1653;2060;;
15;15172;Boyacá;Chinavita;-73.36847648;5.167483821;3209;1231;1978;;
15;15176;Boyacá;Chiquinquirá;-73.81838763;5.61412789;56054;49016;7038;;
15;15180;Boyacá;Chiscas;-72.50183507;6.554050428;3994;879;3115;;
15;15183;Boyacá;Chita;-72.47189235;6.187082996;8045;1976;6069;;
15;15185;Boyacá;Chitaraque;-73.4471004;6.027425133;5830;1158;4672;;
15;15187;Boyacá;Chivatá;-73.28252944;5.558948845;2788;470;2318;;
15;15189;Boyacá;Ciénega;-73.29606129;5.408702192;4635;1207;3428;;
15;15204;Boyacá;Cómbita;-73.32395642;5.634545314;12970;1286;11684;;
15;15212;Boyacá;Coper;-74.04546072;5.474983018;3619;862;2757;;
15;15215;Boyacá;Corrales;-72.84479484;5.828102208;2498;1561;937;;
15;15218;Boyacá;Covarachía;-72.73897793;6.50017746;2806;492;2314;;
15;15223;Boyacá;Cubará;-72.11068776;7.000092875;10319;2182;8137;;
15;15224;Boyacá;Cucaita;-73.45433765;5.544451559;3725;1457;2268;;
15;15226;Boyacá;Cuítiva;-72.96592323;5.58036723;1798;251;1547;;
15;15232;Boyacá;Chíquiza;-73.44946261;5.639834305;4684;332;4352;;
15;15236;Boyacá;Chivor;-73.36689376;4.887781661;2479;681;1798;;
15;15238;Boyacá;Duitama;-73.03060967;5.82298568;122436;107520;14916;;
15;15244;Boyacá;El Cocuy;-72.44472932;6.407716232;4215;2206;2009;;
15;15248;Boyacá;El Espino;-72.49700735;6.483027406;3061;1358;1703;;
15;15272;Boyacá;Firavitoba;-72.99336145;5.66892216;6662;2497;4165;;
15;15276;Boyacá;Floresta;-72.91811131;5.859519124;3266;1152;2114;;
15;15293;Boyacá;Gachantivá;-73.54909239;5.751891082;2789;557;2232;;
15;15296;Boyacá;Gameza;-72.80552935;5.802337805;4850;1327;3523;;
15;15299;Boyacá;Garagoa;-73.36442756;5.083243463;17932;12358;5574;;
15;15317;Boyacá;Guacamayas;-72.500812;6.459666516;1865;624;1241;;
15;15322;Boyacá;Guateque;-73.47120697;5.007320895;10699;7631;3068;;
15;15325;Boyacá;Guayatá;-73.4896964;4.967122531;3400;1117;2283;;
15;15332;Boyacá;Güicán;-72.41176261;6.462863755;4279;1353;2926;;
15;15362;Boyacá;Iza;-72.98017623;5.61169614;1947;1160;787;;
15;15367;Boyacá;Jenesano;-73.36373756;5.385812845;7200;1696;5504;;
15;15368;Boyacá;Jericó;-72.57072349;6.145920383;3929;1201;2728;;
15;15377;Boyacá;Labranzagrande;-72.57777012;5.562687048;3526;1128;2398;;
15;15380;Boyacá;La Capilla;-73.4443474;5.095686992;2689;1012;1677;;
15;15401;Boyacá;La Victoria;-74.23439322;5.52379224;1118;400;718;;
15;15403;Boyacá;La Uvita;-72.5599847;6.316206406;2999;1277;1722;;
15;15407;Boyacá;Villa de Leyva;-73.5246846;5.632661849;16139;7897;8242;;
15;15425;Boyacá;Macanal;-73.31964224;4.972466063;4976;1134;3842;;
15;15442;Boyacá;Maripí;-74.00404995;5.55009071;5741;762;4979;;
15;15455;Boyacá;Miraflores;-73.14563048;5.196515115;8847;5270;3577;;
15;15464;Boyacá;Mongua;-72.79809049;5.754242228;4636;1992;2644;;
15;15466;Boyacá;Monguí;-72.84926001;5.723404072;4234;2327;1907;;
